ativo,target,janela,tecnica,data,target_real,target_pred,resultado_real
VALE3,1.01,60,RNA,2020-11-20,1,1,0.01
VALE3,1.01,60,Random Forest,2020-11-20,1,1,0.01
VALE3,1.01,60,SVC,2020-11-20,1,1,0.01
VALE3,1.01,60,RNA,2020-11-23,1,1,0.01
VALE3,1.01,60,Random Forest,2020-11-23,1,1,0.01
VALE3,1.01,60,SVC,2020-11-23,1,1,0.01
VALE3,1.01,60,RNA,2020-11-24,1,1,0.01
VALE3,1.01,60,Random Forest,2020-11-24,1,1,0.01
VALE3,1.01,60,SVC,2020-11-24,1,1,0.01
VALE3,1.01,60,RNA,2020-11-25,1,1,0.01
VALE3,1.01,60,Random Forest,2020-11-25,1,1,0.01
VALE3,1.01,60,SVC,2020-11-25,1,1,0.01
VALE3,1.01,60,RNA,2020-11-26,1,1,0.01
VALE3,1.01,60,Random Forest,2020-11-26,1,1,0.01
VALE3,1.01,60,SVC,2020-11-26,1,1,0.01
VALE3,1.01,60,RNA,2020-11-27,1,1,0.01
VALE3,1.01,60,Random Forest,2020-11-27,1,1,0.01
VALE3,1.01,60,SVC,2020-11-27,1,1,0.01
VALE3,1.01,60,RNA,2020-11-30,1,1,0.01
VALE3,1.01,60,Random Forest,2020-11-30,1,1,0.01
VALE3,1.01,60,SVC,2020-11-30,1,1,0.01
VALE3,1.01,60,RNA,2020-12-01,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-01,1,1,0.01
VALE3,1.01,60,SVC,2020-12-01,1,1,0.01
VALE3,1.01,60,RNA,2020-12-02,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-02,1,1,0.01
VALE3,1.01,60,SVC,2020-12-02,1,1,0.01
VALE3,1.01,60,RNA,2020-12-03,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-03,1,1,0.01
VALE3,1.01,60,SVC,2020-12-03,1,1,0.01
VALE3,1.01,60,RNA,2020-12-04,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-04,1,1,0.01
VALE3,1.01,60,SVC,2020-12-04,1,1,0.01
VALE3,1.01,60,RNA,2020-12-07,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-07,1,1,0.01
VALE3,1.01,60,SVC,2020-12-07,1,1,0.01
VALE3,1.01,60,RNA,2020-12-08,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-08,1,1,0.01
VALE3,1.01,60,SVC,2020-12-08,1,1,0.01
VALE3,1.01,60,RNA,2020-12-09,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-09,1,1,0.01
VALE3,1.01,60,SVC,2020-12-09,1,1,0.01
VALE3,1.01,60,RNA,2020-12-10,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-10,1,1,0.01
VALE3,1.01,60,SVC,2020-12-10,1,1,0.01
VALE3,1.01,60,RNA,2020-12-11,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-11,1,1,0.01
VALE3,1.01,60,SVC,2020-12-11,1,1,0.01
VALE3,1.01,60,RNA,2020-12-14,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-14,1,1,0.01
VALE3,1.01,60,SVC,2020-12-14,1,1,0.01
VALE3,1.01,60,RNA,2020-12-15,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-15,1,1,0.01
VALE3,1.01,60,SVC,2020-12-15,1,1,0.01
VALE3,1.01,60,RNA,2020-12-16,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-16,1,1,0.01
VALE3,1.01,60,SVC,2020-12-16,1,1,0.01
VALE3,1.01,60,RNA,2020-12-17,0,1,-0.0029673565221439
VALE3,1.01,60,Random Forest,2020-12-17,0,1,-0.0029673565221439
VALE3,1.01,60,SVC,2020-12-17,0,1,-0.0029673565221439
VALE3,1.01,60,RNA,2020-12-18,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-18,1,1,0.01
VALE3,1.01,60,SVC,2020-12-18,1,1,0.01
VALE3,1.01,60,RNA,2020-12-21,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-21,1,1,0.01
VALE3,1.01,60,SVC,2020-12-21,1,1,0.01
VALE3,1.01,60,RNA,2020-12-22,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-22,1,1,0.01
VALE3,1.01,60,SVC,2020-12-22,1,1,0.01
VALE3,1.01,60,RNA,2020-12-23,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-23,1,1,0.01
VALE3,1.01,60,SVC,2020-12-23,1,1,0.01
VALE3,1.01,60,RNA,2020-12-28,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-28,1,1,0.01
VALE3,1.01,60,SVC,2020-12-28,1,1,0.01
VALE3,1.01,60,RNA,2020-12-29,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-29,1,1,0.01
VALE3,1.01,60,SVC,2020-12-29,1,1,0.01
VALE3,1.01,60,RNA,2020-12-30,1,1,0.01
VALE3,1.01,60,Random Forest,2020-12-30,1,1,0.01
VALE3,1.01,60,SVC,2020-12-30,1,1,0.01
VALE3,1.01,60,RNA,2021-01-04,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-04,1,1,0.01
VALE3,1.01,60,SVC,2021-01-04,1,1,0.01
VALE3,1.01,60,RNA,2021-01-05,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-05,1,1,0.01
VALE3,1.01,60,SVC,2021-01-05,1,1,0.01
VALE3,1.01,60,RNA,2021-01-06,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-06,1,1,0.01
VALE3,1.01,60,SVC,2021-01-06,1,1,0.01
VALE3,1.01,60,RNA,2021-01-07,0,1,-0.065915924883139
VALE3,1.01,60,Random Forest,2021-01-07,0,1,-0.065915924883139
VALE3,1.01,60,SVC,2021-01-07,0,1,-0.065915924883139
VALE3,1.01,60,RNA,2021-01-08,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-08,1,1,0.01
VALE3,1.01,60,SVC,2021-01-08,1,1,0.01
VALE3,1.01,60,RNA,2021-01-11,0,1,-0.087317070139419
VALE3,1.01,60,Random Forest,2021-01-11,0,1,-0.087317070139419
VALE3,1.01,60,SVC,2021-01-11,0,1,-0.087317070139419
VALE3,1.01,60,RNA,2021-01-12,0,1,-0.046121160864824
VALE3,1.01,60,Random Forest,2021-01-12,0,1,-0.046121160864824
VALE3,1.01,60,SVC,2021-01-12,0,1,-0.046121160864824
VALE3,1.01,60,RNA,2021-01-13,1,0,0.01
VALE3,1.01,60,Random Forest,2021-01-13,1,1,0.01
VALE3,1.01,60,SVC,2021-01-13,1,1,0.01
VALE3,1.01,60,RNA,2021-01-14,0,1,-0.044108509989041
VALE3,1.01,60,Random Forest,2021-01-14,0,0,-0.044108509989041
VALE3,1.01,60,SVC,2021-01-14,0,1,-0.044108509989041
VALE3,1.01,60,RNA,2021-01-15,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-15,1,1,0.01
VALE3,1.01,60,SVC,2021-01-15,1,1,0.01
VALE3,1.01,60,RNA,2021-01-18,1,0,0.01
VALE3,1.01,60,Random Forest,2021-01-18,1,1,0.01
VALE3,1.01,60,SVC,2021-01-18,1,1,0.01
VALE3,1.01,60,RNA,2021-01-19,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-19,1,1,0.01
VALE3,1.01,60,SVC,2021-01-19,1,1,0.01
VALE3,1.01,60,RNA,2021-01-20,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-20,1,1,0.01
VALE3,1.01,60,SVC,2021-01-20,1,1,0.01
VALE3,1.01,60,RNA,2021-01-21,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-21,1,1,0.01
VALE3,1.01,60,SVC,2021-01-21,1,1,0.01
VALE3,1.01,60,RNA,2021-01-22,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-22,1,1,0.01
VALE3,1.01,60,SVC,2021-01-22,1,1,0.01
VALE3,1.01,60,RNA,2021-01-26,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-26,1,1,0.01
VALE3,1.01,60,SVC,2021-01-26,1,1,0.01
VALE3,1.01,60,RNA,2021-01-27,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-27,1,1,0.01
VALE3,1.01,60,SVC,2021-01-27,1,1,0.01
VALE3,1.01,60,RNA,2021-01-28,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-28,1,1,0.01
VALE3,1.01,60,SVC,2021-01-28,1,1,0.01
VALE3,1.01,60,RNA,2021-01-29,1,1,0.01
VALE3,1.01,60,Random Forest,2021-01-29,1,1,0.01
VALE3,1.01,60,SVC,2021-01-29,1,1,0.01
VALE3,1.01,60,RNA,2021-02-01,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-01,1,1,0.01
VALE3,1.01,60,SVC,2021-02-01,1,1,0.01
VALE3,1.01,60,RNA,2021-02-02,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-02,1,1,0.01
VALE3,1.01,60,SVC,2021-02-02,1,1,0.01
VALE3,1.01,60,RNA,2021-02-03,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-03,1,1,0.01
VALE3,1.01,60,SVC,2021-02-03,1,1,0.01
VALE3,1.01,60,RNA,2021-02-04,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-04,1,1,0.01
VALE3,1.01,60,SVC,2021-02-04,1,1,0.01
VALE3,1.01,60,RNA,2021-02-05,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-05,1,1,0.01
VALE3,1.01,60,SVC,2021-02-05,1,1,0.01
VALE3,1.01,60,RNA,2021-02-08,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-08,1,1,0.01
VALE3,1.01,60,SVC,2021-02-08,1,1,0.01
VALE3,1.01,60,RNA,2021-02-09,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-09,1,1,0.01
VALE3,1.01,60,SVC,2021-02-09,1,1,0.01
VALE3,1.01,60,RNA,2021-02-10,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-10,1,1,0.01
VALE3,1.01,60,SVC,2021-02-10,1,1,0.01
VALE3,1.01,60,RNA,2021-02-11,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-11,1,1,0.01
VALE3,1.01,60,SVC,2021-02-11,1,1,0.01
VALE3,1.01,60,RNA,2021-02-12,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-12,1,1,0.01
VALE3,1.01,60,SVC,2021-02-12,1,1,0.01
VALE3,1.01,60,RNA,2021-02-17,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-17,1,1,0.01
VALE3,1.01,60,SVC,2021-02-17,1,1,0.01
VALE3,1.01,60,RNA,2021-02-18,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-18,1,1,0.01
VALE3,1.01,60,SVC,2021-02-18,1,1,0.01
VALE3,1.01,60,RNA,2021-02-19,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-19,1,1,0.01
VALE3,1.01,60,SVC,2021-02-19,1,1,0.01
VALE3,1.01,60,RNA,2021-02-22,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-22,1,1,0.01
VALE3,1.01,60,SVC,2021-02-22,1,1,0.01
VALE3,1.01,60,RNA,2021-02-23,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-23,1,1,0.01
VALE3,1.01,60,SVC,2021-02-23,1,1,0.01
VALE3,1.01,60,RNA,2021-02-24,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-24,1,1,0.01
VALE3,1.01,60,SVC,2021-02-24,1,1,0.01
VALE3,1.01,60,RNA,2021-02-25,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-25,1,1,0.01
VALE3,1.01,60,SVC,2021-02-25,1,1,0.01
VALE3,1.01,60,RNA,2021-02-26,1,1,0.01
VALE3,1.01,60,Random Forest,2021-02-26,1,1,0.01
VALE3,1.01,60,SVC,2021-02-26,1,1,0.01
VALE3,1.01,60,RNA,2021-03-01,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-01,1,1,0.01
VALE3,1.01,60,SVC,2021-03-01,1,1,0.01
VALE3,1.01,60,RNA,2021-03-02,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-02,1,1,0.01
VALE3,1.01,60,SVC,2021-03-02,1,1,0.01
VALE3,1.01,60,RNA,2021-03-03,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-03,1,1,0.01
VALE3,1.01,60,SVC,2021-03-03,1,1,0.01
VALE3,1.01,60,RNA,2021-03-04,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-04,1,1,0.01
VALE3,1.01,60,SVC,2021-03-04,1,1,0.01
VALE3,1.01,60,RNA,2021-03-05,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-05,1,1,0.01
VALE3,1.01,60,SVC,2021-03-05,1,1,0.01
VALE3,1.01,60,RNA,2021-03-08,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-08,1,1,0.01
VALE3,1.01,60,SVC,2021-03-08,1,1,0.01
VALE3,1.01,60,RNA,2021-03-09,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-09,1,1,0.01
VALE3,1.01,60,SVC,2021-03-09,1,1,0.01
VALE3,1.01,60,RNA,2021-03-10,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-10,1,1,0.01
VALE3,1.01,60,SVC,2021-03-10,1,1,0.01
VALE3,1.01,60,RNA,2021-03-11,0,1,-0.0111111076993465
VALE3,1.01,60,Random Forest,2021-03-11,0,1,-0.0111111076993465
VALE3,1.01,60,SVC,2021-03-11,0,1,-0.0111111076993465
VALE3,1.01,60,RNA,2021-03-12,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-12,1,1,0.01
VALE3,1.01,60,SVC,2021-03-12,1,1,0.01
VALE3,1.01,60,RNA,2021-03-15,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-15,1,1,0.01
VALE3,1.01,60,SVC,2021-03-15,1,1,0.01
VALE3,1.01,60,RNA,2021-03-16,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-16,1,1,0.01
VALE3,1.01,60,SVC,2021-03-16,1,1,0.01
VALE3,1.01,60,RNA,2021-03-17,0,1,-0.0679631500299848
VALE3,1.01,60,Random Forest,2021-03-17,0,1,-0.0679631500299848
VALE3,1.01,60,SVC,2021-03-17,0,1,-0.0679631500299848
VALE3,1.01,60,RNA,2021-03-18,0,1,-0.0306971965325982
VALE3,1.01,60,Random Forest,2021-03-18,0,1,-0.0306971965325982
VALE3,1.01,60,SVC,2021-03-18,0,1,-0.0306971965325982
VALE3,1.01,60,RNA,2021-03-19,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-19,1,1,0.01
VALE3,1.01,60,SVC,2021-03-19,1,1,0.01
VALE3,1.01,60,RNA,2021-03-22,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-22,1,1,0.01
VALE3,1.01,60,SVC,2021-03-22,1,1,0.01
VALE3,1.01,60,RNA,2021-03-23,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-23,1,1,0.01
VALE3,1.01,60,SVC,2021-03-23,1,1,0.01
VALE3,1.01,60,RNA,2021-03-24,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-24,1,1,0.01
VALE3,1.01,60,SVC,2021-03-24,1,1,0.01
VALE3,1.01,60,RNA,2021-03-25,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-25,1,1,0.01
VALE3,1.01,60,SVC,2021-03-25,1,1,0.01
VALE3,1.01,60,RNA,2021-03-26,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-26,1,1,0.01
VALE3,1.01,60,SVC,2021-03-26,1,1,0.01
VALE3,1.01,60,RNA,2021-03-29,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-29,1,1,0.01
VALE3,1.01,60,SVC,2021-03-29,1,1,0.01
VALE3,1.01,60,RNA,2021-03-30,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-30,1,1,0.01
VALE3,1.01,60,SVC,2021-03-30,1,1,0.01
VALE3,1.01,60,RNA,2021-03-31,1,1,0.01
VALE3,1.01,60,Random Forest,2021-03-31,1,1,0.01
VALE3,1.01,60,SVC,2021-03-31,1,1,0.01
VALE3,1.01,60,RNA,2021-04-01,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-01,1,1,0.01
VALE3,1.01,60,SVC,2021-04-01,1,1,0.01
VALE3,1.01,60,RNA,2021-04-05,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-05,1,1,0.01
VALE3,1.01,60,SVC,2021-04-05,1,1,0.01
VALE3,1.01,60,RNA,2021-04-06,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-06,1,0,0.01
VALE3,1.01,60,SVC,2021-04-06,1,1,0.01
VALE3,1.01,60,RNA,2021-04-07,0,0,-0.0129597796684941
VALE3,1.01,60,Random Forest,2021-04-07,0,1,-0.0129597796684941
VALE3,1.01,60,SVC,2021-04-07,0,1,-0.0129597796684941
VALE3,1.01,60,RNA,2021-04-08,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-08,1,1,0.01
VALE3,1.01,60,SVC,2021-04-08,1,1,0.01
VALE3,1.01,60,RNA,2021-04-09,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-09,1,1,0.01
VALE3,1.01,60,SVC,2021-04-09,1,1,0.01
VALE3,1.01,60,RNA,2021-04-12,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-12,1,1,0.01
VALE3,1.01,60,SVC,2021-04-12,1,1,0.01
VALE3,1.01,60,RNA,2021-04-13,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-13,1,1,0.01
VALE3,1.01,60,SVC,2021-04-13,1,1,0.01
VALE3,1.01,60,RNA,2021-04-14,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-14,1,1,0.01
VALE3,1.01,60,SVC,2021-04-14,1,1,0.01
VALE3,1.01,60,RNA,2021-04-15,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-15,1,1,0.01
VALE3,1.01,60,SVC,2021-04-15,1,1,0.01
VALE3,1.01,60,RNA,2021-04-16,0,1,-0.0092660632295794
VALE3,1.01,60,Random Forest,2021-04-16,0,1,-0.0092660632295794
VALE3,1.01,60,SVC,2021-04-16,0,1,-0.0092660632295794
VALE3,1.01,60,RNA,2021-04-19,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-19,1,1,0.01
VALE3,1.01,60,SVC,2021-04-19,1,1,0.01
VALE3,1.01,60,RNA,2021-04-20,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-20,1,1,0.01
VALE3,1.01,60,SVC,2021-04-20,1,1,0.01
VALE3,1.01,60,RNA,2021-04-22,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-22,1,1,0.01
VALE3,1.01,60,SVC,2021-04-22,1,1,0.01
VALE3,1.01,60,RNA,2021-04-23,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-23,1,1,0.01
VALE3,1.01,60,SVC,2021-04-23,1,1,0.01
VALE3,1.01,60,RNA,2021-04-26,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-26,1,1,0.01
VALE3,1.01,60,SVC,2021-04-26,1,1,0.01
VALE3,1.01,60,RNA,2021-04-27,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-27,1,1,0.01
VALE3,1.01,60,SVC,2021-04-27,1,1,0.01
VALE3,1.01,60,RNA,2021-04-28,0,1,-0.0186291081832308
VALE3,1.01,60,Random Forest,2021-04-28,0,1,-0.0186291081832308
VALE3,1.01,60,SVC,2021-04-28,0,1,-0.0186291081832308
VALE3,1.01,60,RNA,2021-04-29,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-29,1,1,0.01
VALE3,1.01,60,SVC,2021-04-29,1,1,0.01
VALE3,1.01,60,RNA,2021-04-30,1,1,0.01
VALE3,1.01,60,Random Forest,2021-04-30,1,0,0.01
VALE3,1.01,60,SVC,2021-04-30,1,1,0.01
VALE3,1.01,60,RNA,2021-05-03,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-03,1,1,0.01
VALE3,1.01,60,SVC,2021-05-03,1,1,0.01
VALE3,1.01,60,RNA,2021-05-04,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-04,1,1,0.01
VALE3,1.01,60,SVC,2021-05-04,1,1,0.01
VALE3,1.01,60,RNA,2021-05-05,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-05,1,1,0.01
VALE3,1.01,60,SVC,2021-05-05,1,1,0.01
VALE3,1.01,60,RNA,2021-05-06,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-06,1,1,0.01
VALE3,1.01,60,SVC,2021-05-06,1,1,0.01
VALE3,1.01,60,RNA,2021-05-07,0,1,-0.0610183674230886
VALE3,1.01,60,Random Forest,2021-05-07,0,1,-0.0610183674230886
VALE3,1.01,60,SVC,2021-05-07,0,1,-0.0610183674230886
VALE3,1.01,60,RNA,2021-05-10,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-10,1,1,0.01
VALE3,1.01,60,SVC,2021-05-10,1,1,0.01
VALE3,1.01,60,RNA,2021-05-11,0,1,-0.0384745669533053
VALE3,1.01,60,Random Forest,2021-05-11,0,1,-0.0384745669533053
VALE3,1.01,60,SVC,2021-05-11,0,1,-0.0384745669533053
VALE3,1.01,60,RNA,2021-05-12,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-12,1,1,0.01
VALE3,1.01,60,SVC,2021-05-12,1,1,0.01
VALE3,1.01,60,RNA,2021-05-13,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-13,1,1,0.01
VALE3,1.01,60,SVC,2021-05-13,1,1,0.01
VALE3,1.01,60,RNA,2021-05-14,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-14,1,1,0.01
VALE3,1.01,60,SVC,2021-05-14,1,1,0.01
VALE3,1.01,60,RNA,2021-05-17,0,1,-0.045041895832579
VALE3,1.01,60,Random Forest,2021-05-17,0,1,-0.045041895832579
VALE3,1.01,60,SVC,2021-05-17,0,1,-0.045041895832579
VALE3,1.01,60,RNA,2021-05-18,0,1,-0.0206958089961398
VALE3,1.01,60,Random Forest,2021-05-18,0,1,-0.0206958089961398
VALE3,1.01,60,SVC,2021-05-18,0,1,-0.0206958089961398
VALE3,1.01,60,RNA,2021-05-19,0,1,-0.0416293649474925
VALE3,1.01,60,Random Forest,2021-05-19,0,1,-0.0416293649474925
VALE3,1.01,60,SVC,2021-05-19,0,1,-0.0416293649474925
VALE3,1.01,60,RNA,2021-05-20,0,1,-0.0081900766104514
VALE3,1.01,60,Random Forest,2021-05-20,0,1,-0.0081900766104514
VALE3,1.01,60,SVC,2021-05-20,0,1,-0.0081900766104514
VALE3,1.01,60,RNA,2021-05-21,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-21,1,0,0.01
VALE3,1.01,60,SVC,2021-05-21,1,1,0.01
VALE3,1.01,60,RNA,2021-05-24,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-24,1,0,0.01
VALE3,1.01,60,SVC,2021-05-24,1,1,0.01
VALE3,1.01,60,RNA,2021-05-25,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-25,1,1,0.01
VALE3,1.01,60,SVC,2021-05-25,1,1,0.01
VALE3,1.01,60,RNA,2021-05-26,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-26,1,1,0.01
VALE3,1.01,60,SVC,2021-05-26,1,1,0.01
VALE3,1.01,60,RNA,2021-05-27,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-27,1,1,0.01
VALE3,1.01,60,SVC,2021-05-27,1,1,0.01
VALE3,1.01,60,RNA,2021-05-28,1,1,0.01
VALE3,1.01,60,Random Forest,2021-05-28,1,0,0.01
VALE3,1.01,60,SVC,2021-05-28,1,1,0.01
VALE3,1.01,60,RNA,2021-05-31,0,1,-0.044444443578381
VALE3,1.01,60,Random Forest,2021-05-31,0,1,-0.044444443578381
VALE3,1.01,60,SVC,2021-05-31,0,1,-0.044444443578381
VALE3,1.01,60,RNA,2021-06-01,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-01,1,1,0.01
VALE3,1.01,60,SVC,2021-06-01,1,1,0.01
VALE3,1.01,60,RNA,2021-06-02,0,1,-0.0200873431195064
VALE3,1.01,60,Random Forest,2021-06-02,0,1,-0.0200873431195064
VALE3,1.01,60,SVC,2021-06-02,0,1,-0.0200873431195064
VALE3,1.01,60,RNA,2021-06-04,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-04,1,0,0.01
VALE3,1.01,60,SVC,2021-06-04,1,1,0.01
VALE3,1.01,60,RNA,2021-06-07,1,0,0.01
VALE3,1.01,60,Random Forest,2021-06-07,1,0,0.01
VALE3,1.01,60,SVC,2021-06-07,1,1,0.01
VALE3,1.01,60,RNA,2021-06-08,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-08,1,0,0.01
VALE3,1.01,60,SVC,2021-06-08,1,1,0.01
VALE3,1.01,60,RNA,2021-06-09,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-09,1,1,0.01
VALE3,1.01,60,SVC,2021-06-09,1,1,0.01
VALE3,1.01,60,RNA,2021-06-10,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-10,1,1,0.01
VALE3,1.01,60,SVC,2021-06-10,1,1,0.01
VALE3,1.01,60,RNA,2021-06-11,0,1,-0.0784091889258815
VALE3,1.01,60,Random Forest,2021-06-11,0,1,-0.0784091889258815
VALE3,1.01,60,SVC,2021-06-11,0,1,-0.0784091889258815
VALE3,1.01,60,RNA,2021-06-14,0,1,-0.0411356302395852
VALE3,1.01,60,Random Forest,2021-06-14,0,1,-0.0411356302395852
VALE3,1.01,60,SVC,2021-06-14,0,1,-0.0411356302395852
VALE3,1.01,60,RNA,2021-06-15,0,1,-0.0124663665307702
VALE3,1.01,60,Random Forest,2021-06-15,0,1,-0.0124663665307702
VALE3,1.01,60,SVC,2021-06-15,0,1,-0.0124663665307702
VALE3,1.01,60,RNA,2021-06-16,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-16,1,1,0.01
VALE3,1.01,60,SVC,2021-06-16,1,1,0.01
VALE3,1.01,60,RNA,2021-06-17,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-17,1,1,0.01
VALE3,1.01,60,SVC,2021-06-17,1,1,0.01
VALE3,1.01,60,RNA,2021-06-18,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-18,1,1,0.01
VALE3,1.01,60,SVC,2021-06-18,1,1,0.01
VALE3,1.01,60,RNA,2021-06-21,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-21,1,1,0.01
VALE3,1.01,60,SVC,2021-06-21,1,1,0.01
VALE3,1.01,60,RNA,2021-06-22,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-22,1,1,0.01
VALE3,1.01,60,SVC,2021-06-22,1,1,0.01
VALE3,1.01,60,RNA,2021-06-23,1,0,0.01
VALE3,1.01,60,Random Forest,2021-06-23,1,1,0.01
VALE3,1.01,60,SVC,2021-06-23,1,1,0.01
VALE3,1.01,60,RNA,2021-06-24,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-24,1,1,0.01
VALE3,1.01,60,SVC,2021-06-24,1,1,0.01
VALE3,1.01,60,RNA,2021-06-25,0,1,-0.0173083755102603
VALE3,1.01,60,Random Forest,2021-06-25,0,1,-0.0173083755102603
VALE3,1.01,60,SVC,2021-06-25,0,1,-0.0173083755102603
VALE3,1.01,60,RNA,2021-06-28,1,1,0.01
VALE3,1.01,60,Random Forest,2021-06-28,1,0,0.01
VALE3,1.01,60,SVC,2021-06-28,1,1,0.01
VALE3,1.01,60,RNA,2021-06-29,1,1,0.01
